label,synset,name,support,702k_top1_accuracy,702k_top5_accuracy,702k_top10_accuracy,702k_mean_loss,702k_mean_true_rank,702k_precision,702k_recall,702k_f1,2048unit_top1_accuracy,2048unit_top5_accuracy,2048unit_top10_accuracy,2048unit_mean_loss,2048unit_mean_true_rank,2048unit_precision,2048unit_recall,2048unit_f1,ensemble_top1_accuracy,ensemble_top5_accuracy,ensemble_top10_accuracy,ensemble_mean_loss,ensemble_mean_true_rank,ensemble_precision,ensemble_recall,ensemble_f1,small_minus_large_top1_accuracy,ensemble_minus_small_top1_accuracy,small_minus_large_top5_accuracy,ensemble_minus_small_top5_accuracy,small_minus_large_top10_accuracy,ensemble_minus_small_top10_accuracy,small_minus_large_mean_loss,ensemble_minus_small_mean_loss
10,n01784675,centipede,50,0.26,0.6,0.66,3.454669846883817,14.14,0.2954545454545454,0.26,0.2765957446808511,0.32,0.5,0.62,3.704508150438672,17.62,0.3555555555555555,0.32,0.3368421052631579,0.3,0.58,0.64,3.31812375654875,14.92,0.3191489361702128,0.3,0.3092783505154639,-0.06,0.03999999999999998,0.09999999999999998,-0.020000000000000018,0.040000000000000036,-0.020000000000000018,-0.24983830355485503,-0.13654609033506704
11,n01855672,goose,47,0.4893617021276595,0.7446808510638298,0.851063829787234,2.0362620968946654,6.361702127659575,0.46,0.4893617021276595,0.4742268041237113,0.4680851063829787,0.6808510638297872,0.7446808510638298,2.529620049708023,11.97872340425532,0.4,0.4680851063829787,0.4313725490196078,0.4893617021276595,0.7446808510638298,0.7872340425531915,2.065410790662091,6.9361702127659575,0.4339622641509434,0.4893617021276595,0.4599999999999999,0.021276595744680826,0.0,0.06382978723404253,0.0,0.1063829787234043,-0.06382978723404253,-0.4933579528133576,0.02914869376742546
12,n01882714,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",50,0.54,0.7,0.88,2.0256048700056546,10.72,0.4909090909090909,0.54,0.5142857142857142,0.52,0.7,0.72,2.133694332034069,9.54,0.4333333333333333,0.52,0.4727272727272728,0.56,0.72,0.86,1.883648993812733,9.18,0.4827586206896552,0.56,0.5185185185185185,0.020000000000000018,0.020000000000000018,0.0,0.020000000000000018,0.16000000000000003,-0.020000000000000018,-0.1080894620284143,-0.1419558761929216
13,n01910747,jellyfish,50,0.6,0.82,0.9,1.736830720351621,3.98,0.5769230769230769,0.6,0.5882352941176471,0.62,0.8,0.94,1.6196823280274129,3.5,0.6595744680851063,0.62,0.6391752577319586,0.64,0.8,0.9,1.5560114053725185,3.16,0.6666666666666666,0.64,0.6530612244897959,-0.020000000000000018,0.040000000000000036,0.019999999999999907,-0.019999999999999907,-0.039999999999999925,0.0,0.11714839232420804,-0.18081931497910242
14,n01917289,brain coral,50,0.44,0.86,0.9,2.0680491004788584,8.24,0.55,0.44,0.4888888888888889,0.52,0.84,0.9,2.20114815919706,11.32,0.4727272727272727,0.52,0.4952380952380952,0.48,0.84,0.94,1.8462765159424044,8.02,0.5454545454545454,0.48,0.5106382978723404,-0.08000000000000002,0.03999999999999998,0.020000000000000018,-0.020000000000000018,0.0,0.039999999999999925,-0.1330990587182015,-0.221772584536454
15,n01944390,snail,49,0.2857142857142857,0.5918367346938775,0.6938775510204082,3.4096683313559573,15.755102040816327,0.3684210526315789,0.2857142857142857,0.3218390804597701,0.2653061224489796,0.6122448979591837,0.7551020408163265,3.166105244003965,10.83673469387755,0.3513513513513513,0.2653061224489796,0.3023255813953489,0.2653061224489796,0.6530612244897959,0.7346938775510204,2.980439708280104,11.0,0.3714285714285714,0.2653061224489796,0.3095238095238095,0.02040816326530609,-0.02040816326530609,-0.020408163265306145,0.061224489795918324,-0.061224489795918324,0.04081632653061229,0.24356308735199228,-0.4292286230758533
16,n01945685,slug,49,0.2448979591836734,0.6122448979591837,0.6938775510204082,3.494887058135073,15.79591836734694,0.2666666666666666,0.2448979591836734,0.2553191489361702,0.1836734693877551,0.4285714285714285,0.7142857142857143,3.5888606093674986,11.918367346938776,0.3,0.1836734693877551,0.2278481012658227,0.2653061224489796,0.5102040816326531,0.7142857142857143,3.187874621819924,12.122448979591836,0.3333333333333333,0.2653061224489796,0.2954545454545454,0.0612244897959183,0.0204081632653062,0.1836734693877552,-0.10204081632653061,-0.020408163265306145,0.020408163265306145,-0.09397355123242557,-0.3070124363151492
17,n01950731,"sea slug, nudibranch",50,0.48,0.86,0.92,1.6767200499837491,3.2,0.4705882352941176,0.48,0.4752475247524752,0.5,0.78,0.88,2.0020688198733456,8.28,0.4385964912280701,0.5,0.4672897196261681,0.54,0.82,0.92,1.5686153888032992,3.4,0.4576271186440678,0.54,0.4954128440366973,-0.020000000000000018,0.06000000000000005,0.07999999999999996,-0.040000000000000036,0.040000000000000036,0.0,-0.3253487698895965,-0.10810466118044992
18,n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",50,0.46,0.7,0.78,2.771724213650131,16.44,0.3770491803278688,0.46,0.4144144144144144,0.42,0.66,0.72,2.6217103584608044,12.28,0.3962264150943396,0.42,0.4077669902912621,0.46,0.72,0.8,2.3974709579273967,12.74,0.4035087719298245,0.46,0.4299065420560747,0.040000000000000036,0.0,0.039999999999999925,0.020000000000000018,0.06000000000000005,0.020000000000000018,0.15001385518932686,-0.3742532557227345
19,n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",50,0.5,0.84,0.9,1.8797616916783455,4.34,0.4166666666666667,0.5,0.4545454545454545,0.46,0.8,0.84,2.0583098168685763,6.52,0.4107142857142857,0.46,0.4339622641509433,0.56,0.86,0.92,1.7941330809938538,4.4,0.4375,0.56,0.4912280701754386,0.03999999999999998,0.06000000000000005,0.039999999999999925,0.020000000000000018,0.06000000000000005,0.020000000000000018,-0.17854812519023078,-0.08562861068449168
