label,synset,name,support,top1_accuracy,top5_accuracy,top10_accuracy,mean_loss,mean_true_probability,mean_true_rank,median_true_rank,predicted_count,false_positive_count,precision,recall,f1
38,n02206856,bee,50,0.52,0.8,0.9,1.7056725630923426,0.48882080192611693,5.86,1.0,63,37,0.4126984126984127,0.52,0.46017699115044247
39,n02226429,"grasshopper, hopper",50,0.3,0.72,0.84,2.618537927647816,0.23350029172279776,9.4,3.0,54,39,0.2777777777777778,0.3,0.2884615384615385
40,n02231487,"walking stick, walkingstick, stick insect",50,0.24,0.6,0.74,3.162884410423591,0.1658077420167179,10.1,4.0,38,26,0.3157894736842105,0.24,0.2727272727272727
41,n02233338,"cockroach, roach",50,0.36,0.52,0.64,3.001065295971779,0.21984366500431796,10.0,3.5,34,16,0.5294117647058824,0.36,0.42857142857142855
42,n02236044,"mantis, mantid",50,0.34,0.76,0.82,2.4507099849699094,0.25729413335127543,9.42,3.0,54,37,0.3148148148148148,0.34,0.3269230769230769
43,n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",50,0.34,0.78,0.86,2.4700035370069804,0.2656019924630757,9.2,2.0,41,24,0.4146341463414634,0.34,0.3736263736263737
44,n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",50,0.76,0.9,0.9,1.110185385050655,0.7325728854240475,6.22,1.0,62,24,0.6129032258064516,0.76,0.6785714285714285
45,n02281406,"sulphur butterfly, sulfur butterfly",50,0.78,0.92,0.94,1.0724119131132273,0.6990658658292493,6.28,1.0,59,20,0.6610169491525424,0.78,0.7155963302752293
46,n02321529,"sea cucumber, holothurian",50,0.54,0.82,0.86,1.911405441337683,0.40097276815524346,9.92,1.0,63,36,0.42857142857142855,0.54,0.47787610619469023
47,n02364673,"guinea pig, Cavia cobaya",49,0.3469387755102041,0.6938775510204082,0.8163265306122449,2.439181837094334,0.2988359733081238,7.163265306122449,2.0,64,47,0.265625,0.3469387755102041,0.3008849557522124
48,n02395406,"hog, pig, grunter, squealer, Sus scrofa",50,0.14,0.42,0.68,3.7067233286025187,0.12765676108668353,14.98,6.0,25,18,0.28,0.14,0.18666666666666668
49,n02403003,ox,47,0.23404255319148937,0.6170212765957447,0.723404255319149,3.6011813324504023,0.20791517856226557,19.72340425531915,4.0,27,16,0.4074074074074074,0.23404255319148937,0.29729729729729726
50,n02410509,bison,50,0.64,0.88,0.92,1.250807748223551,0.5489453780537807,4.32,1.0,65,33,0.49230769230769234,0.64,0.5565217391304347
51,n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",49,0.2653061224489796,0.5918367346938775,0.6938775510204082,3.2564415526641692,0.19637915028908046,11.918367346938776,3.0,42,29,0.30952380952380953,0.2653061224489796,0.2857142857142857
52,n02423022,gazelle,50,0.68,0.82,0.86,1.710851877497825,0.5453883636387079,10.5,1.0,66,32,0.5151515151515151,0.68,0.5862068965517241
53,n02437312,"Arabian camel, dromedary, Camelus dromedarius",50,0.34,0.58,0.84,2.789067220882262,0.2245895080716313,9.92,3.0,40,23,0.425,0.34,0.3777777777777778
54,n02480495,"orangutan, orang, orangutang, Pongo pygmaeus",48,0.3541666666666667,0.7291666666666666,0.8125,2.6709696480813006,0.2947658734187823,11.854166666666666,2.0,43,26,0.3953488372093023,0.3541666666666667,0.37362637362637363
55,n02481823,"chimpanzee, chimp, Pan troglodytes",46,0.5869565217391305,0.8260869565217391,0.8695652173913043,1.877229322967515,0.4138628137633088,8.26086956521739,1.0,74,47,0.36486486486486486,0.5869565217391305,0.45
56,n02486410,baboon,50,0.3,0.74,0.84,2.5753204643874956,0.19580123195602245,8.22,2.0,34,19,0.4411764705882353,0.3,0.35714285714285715
57,n02504458,"African elephant, Loxodonta africana",47,0.5531914893617021,0.7872340425531915,0.851063829787234,2.012469637918776,0.44416001319120546,11.553191489361701,1.0,68,42,0.38235294117647056,0.5531914893617021,0.4521739130434782
58,n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",49,0.7346938775510204,0.8163265306122449,0.8163265306122449,1.9180458343506195,0.6005142736175998,18.102040816326532,1.0,57,21,0.631578947368421,0.7346938775510204,0.6792452830188679
59,n02666196,abacus,50,0.38,0.52,0.62,3.3457272801346742,0.28470107449096405,20.32,5.0,39,20,0.48717948717948717,0.38,0.4269662921348315
