label,synset,name,support,top1_accuracy,top5_accuracy,top10_accuracy,mean_loss,mean_true_probability,mean_true_rank,median_true_rank,predicted_count,false_positive_count,precision,recall,f1
20,n02002724,"black stork, Ciconia nigra",49,0.6122448979591837,0.8367346938775511,0.8979591836734694,1.7162804938129295,0.4037112487741321,5.6938775510204085,1.0,50,20,0.6,0.6122448979591837,0.6060606060606062
21,n02056570,"king penguin, Aptenodytes patagonica",50,0.64,0.72,0.78,2.022509953473698,0.5500774622123332,12.02,1.0,52,20,0.6153846153846154,0.64,0.6274509803921569
22,n02058221,"albatross, mollymawk",50,0.76,0.84,0.92,1.3626096831155206,0.5564809311080705,4.22,1.0,54,16,0.7037037037037037,0.76,0.7307692307692308
23,n02074367,"dugong, Dugong dugon",50,0.82,0.9,0.96,0.739382964660716,0.7308240852127718,1.98,1.0,65,24,0.6307692307692307,0.82,0.7130434782608696
24,n02085620,Chihuahua,49,0.14285714285714285,0.3469387755102041,0.5510204081632653,4.0599186111628125,0.06743220219026902,18.163265306122447,9.0,40,33,0.175,0.14285714285714285,0.15730337078651685
25,n02094433,Yorkshire terrier,50,0.66,0.92,0.94,1.332866460577309,0.43672255345702476,3.42,1.0,78,45,0.4230769230769231,0.66,0.515625
26,n02099601,golden retriever,50,0.36,0.7,0.8,2.547257432811763,0.2391203862755575,8.28,2.0,50,32,0.36,0.36,0.36
27,n02099712,Labrador retriever,50,0.16,0.52,0.74,3.1189323414578936,0.12644478876314627,10.54,5.0,31,23,0.25806451612903225,0.16,0.19753086419753085
28,n02106662,"German shepherd, German shepherd dog, German police dog, alsatian",50,0.44,0.7,0.72,2.990071824028178,0.2954336792626984,21.96,2.0,55,33,0.4,0.44,0.41904761904761906
29,n02113799,standard poodle,49,0.22448979591836735,0.4489795918367347,0.6326530612244898,3.73319969161195,0.11477185059492402,15.040816326530612,6.0,43,32,0.2558139534883721,0.22448979591836735,0.23913043478260868
30,n02123045,"tabby, tabby cat",50,0.22,0.66,0.8,2.6700952257601096,0.15170399369711274,8.0,3.0,51,40,0.21568627450980393,0.22,0.21782178217821785
31,n02123394,Persian cat,49,0.6122448979591837,0.7551020408163265,0.7959183673469388,1.7483865686280406,0.4458419334347904,5.3061224489795915,1.0,68,38,0.4411764705882353,0.6122448979591837,0.5128205128205129
32,n02124075,Egyptian cat,50,0.2,0.52,0.64,3.3549438853045412,0.1445232327489669,12.06,5.0,50,40,0.2,0.2,0.20000000000000004
33,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",50,0.3,0.78,0.9,2.1891029801043222,0.2216523384091996,4.78,2.0,50,35,0.3,0.3,0.3
34,n02129165,"lion, king of beasts, Panthera leo",50,0.56,0.76,0.86,1.8187676200969944,0.4540567505399585,6.4,1.0,72,44,0.3888888888888889,0.56,0.45901639344262296
35,n02132136,"brown bear, bruin, Ursus arctos",49,0.673469387755102,0.8163265306122449,0.9183673469387755,1.5765617801395264,0.40082158141136187,3.877551020408163,1.0,84,51,0.39285714285714285,0.673469387755102,0.49624060150375937
36,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",50,0.72,0.86,0.9,1.1221470069176882,0.6053031258124484,4.02,1.0,53,17,0.6792452830188679,0.72,0.6990291262135921
37,n02190166,fly,49,0.5306122448979592,0.7959183673469388,0.8571428571428571,1.900537813476084,0.37794735436133703,6.428571428571429,1.0,59,33,0.4406779661016949,0.5306122448979592,0.4814814814814815
38,n02206856,bee,50,0.6,0.88,0.92,1.3440820177364265,0.5020909585130502,2.88,1.0,61,31,0.4918032786885246,0.6,0.5405405405405406
39,n02226429,"grasshopper, hopper",50,0.36,0.8,0.84,2.413044295424238,0.24711162692836489,9.44,2.0,50,32,0.36,0.36,0.36
40,n02231487,"walking stick, walkingstick, stick insect",50,0.26,0.66,0.78,2.8475912022293124,0.1785734267537649,9.02,3.0,47,34,0.2765957446808511,0.26,0.268041237113402
41,n02233338,"cockroach, roach",50,0.38,0.62,0.74,2.7367952206403823,0.2186609707836722,8.62,4.0,46,27,0.41304347826086957,0.38,0.39583333333333337
42,n02236044,"mantis, mantid",50,0.42,0.8,0.82,2.3086597519493597,0.282579599427868,8.98,2.0,61,40,0.3442622950819672,0.42,0.3783783783783784
43,n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",50,0.44,0.76,0.88,2.2752145353925837,0.3034682601812437,9.5,2.0,40,18,0.55,0.44,0.48888888888888893
44,n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",50,0.78,0.9,0.92,0.9473436587630906,0.7076285581255671,4.72,1.0,53,14,0.7358490566037735,0.78,0.7572815533980584
45,n02281406,"sulphur butterfly, sulfur butterfly",50,0.8,0.94,0.96,0.9155653350344707,0.7027226888897071,5.68,1.0,55,15,0.7272727272727273,0.8,0.761904761904762
46,n02321529,"sea cucumber, holothurian",50,0.54,0.84,0.88,1.8148059617451993,0.39057118565484833,9.78,1.0,60,33,0.45,0.54,0.49090909090909096
47,n02364673,"guinea pig, Cavia cobaya",49,0.3673469387755102,0.673469387755102,0.8163265306122449,2.261673338584486,0.31551000192273426,6.918367346938775,2.0,55,37,0.32727272727272727,0.3673469387755102,0.34615384615384615
48,n02395406,"hog, pig, grunter, squealer, Sus scrofa",50,0.28,0.5,0.68,3.4848500675997696,0.14636894155074967,14.1,5.5,34,20,0.4117647058823529,0.28,0.3333333333333333
49,n02403003,ox,47,0.2978723404255319,0.723404255319149,0.7872340425531915,3.0176564524509084,0.24067135852872734,15.382978723404255,3.0,37,23,0.3783783783783784,0.2978723404255319,0.3333333333333333
50,n02410509,bison,50,0.72,0.88,0.96,1.131068970480832,0.5683635484539975,4.12,1.0,62,26,0.5806451612903226,0.72,0.6428571428571428
51,n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",49,0.3469387755102041,0.6326530612244898,0.7142857142857143,2.922778893691719,0.20566708030646982,9.408163265306122,2.0,50,33,0.34,0.3469387755102041,0.3434343434343435
52,n02423022,gazelle,50,0.72,0.84,0.86,1.6260903234512156,0.5589862595525417,10.66,1.0,68,32,0.5294117647058824,0.72,0.6101694915254237
53,n02437312,"Arabian camel, dromedary, Camelus dromedarius",50,0.48,0.72,0.82,2.4013095893751366,0.27613935698635,8.48,2.0,47,23,0.5106382978723404,0.48,0.49484536082474223
54,n02480495,"orangutan, orang, orangutang, Pongo pygmaeus",48,0.5208333333333334,0.8541666666666666,0.8958333333333334,1.948816988401435,0.381271591782901,8.479166666666666,1.0,57,32,0.43859649122807015,0.5208333333333334,0.4761904761904762
55,n02481823,"chimpanzee, chimp, Pan troglodytes",46,0.5869565217391305,0.8043478260869565,0.8478260869565217,1.7416501754899323,0.42840147420820035,7.869565217391305,1.0,71,44,0.38028169014084506,0.5869565217391305,0.4615384615384615
56,n02486410,baboon,50,0.36,0.82,0.86,2.382854449738276,0.21226291134777386,7.32,2.0,37,19,0.4864864864864865,0.36,0.4137931034482759
57,n02504458,"African elephant, Loxodonta africana",47,0.6170212765957447,0.8085106382978723,0.8297872340425532,1.8133692102387013,0.4713686997265403,9.446808510638299,1.0,54,25,0.5370370370370371,0.6170212765957447,0.5742574257425743
58,n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",49,0.7142857142857143,0.7959183673469388,0.8571428571428571,1.5380862622779528,0.6025367729097765,10.795918367346939,1.0,55,20,0.6363636363636364,0.7142857142857143,0.673076923076923
59,n02666196,abacus,50,0.42,0.54,0.66,3.152532844162483,0.2711091255004814,17.92,4.0,30,9,0.7,0.42,0.525
60,n02669723,"academic gown, academic robe, judge's robe",49,0.4897959183673469,0.7142857142857143,0.7959183673469388,2.32495437611978,0.32254065526337294,10.938775510204081,2.0,52,28,0.46153846153846156,0.4897959183673469,0.4752475247524753
61,n02699494,altar,50,0.62,0.82,0.94,1.5737204441428283,0.42229570610241424,4.28,1.0,62,31,0.5,0.62,0.5535714285714285
62,n02730930,apron,50,0.22,0.66,0.76,2.8987098271286693,0.16795379815840003,11.0,3.0,46,35,0.2391304347826087,0.22,0.22916666666666666
63,n02769748,"backpack, back pack, knapsack, packsack, rucksack, haversack",50,0.42,0.7,0.8,2.5978887832055615,0.22226826187182325,9.38,2.0,65,44,0.3230769230769231,0.42,0.3652173913043478
