label,synset,name,support,top1_accuracy,top5_accuracy,top10_accuracy,mean_loss,mean_true_probability,mean_true_rank,median_true_rank,predicted_count,false_positive_count,precision,recall,f1
29,n02113799,standard poodle,49,0.22448979591836735,0.5510204081632653,0.7142857142857143,3.6922781011164547,0.14297081438484652,13.551020408163266,5.0,53,42,0.20754716981132076,0.22448979591836735,0.21568627450980393
30,n02123045,"tabby, tabby cat",50,0.18,0.6,0.88,2.8220970865140966,0.15214827016023405,8.76,3.0,42,33,0.21428571428571427,0.18,0.1956521739130435
31,n02123394,Persian cat,49,0.6122448979591837,0.7346938775510204,0.8163265306122449,1.8396734044238439,0.47950159046798685,6.142857142857143,1.0,65,35,0.46153846153846156,0.6122448979591837,0.5263157894736843
32,n02124075,Egyptian cat,50,0.18,0.44,0.62,3.678257478086416,0.16344187572003932,14.38,6.5,56,47,0.16071428571428573,0.18,0.16981132075471697
33,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",50,0.34,0.72,0.86,2.4841473876850135,0.24763475971838805,6.96,2.0,55,38,0.3090909090909091,0.34,0.32380952380952377
34,n02129165,"lion, king of beasts, Panthera leo",50,0.5,0.76,0.84,1.948825264196056,0.44611305854106914,5.32,1.5,60,35,0.4166666666666667,0.5,0.45454545454545453
35,n02132136,"brown bear, bruin, Ursus arctos",49,0.46938775510204084,0.7755102040816326,0.8979591836734694,1.93869319091773,0.36782988534136385,4.36734693877551,2.0,65,42,0.35384615384615387,0.46938775510204084,0.4035087719298246
36,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",50,0.72,0.88,0.92,1.1472150573233566,0.6776542202485725,6.76,1.0,55,19,0.6545454545454545,0.72,0.6857142857142857
37,n02190166,fly,49,0.42857142857142855,0.7959183673469388,0.8979591836734694,2.1531174994948965,0.38354266526464253,6.63265306122449,2.0,51,30,0.4117647058823529,0.42857142857142855,0.42
38,n02206856,bee,50,0.58,0.88,0.94,1.3200365437524928,0.5153611150999835,2.84,1.0,61,32,0.47540983606557374,0.58,0.5225225225225224
39,n02226429,"grasshopper, hopper",50,0.38,0.78,0.8,2.5638540235651237,0.26072296213393203,10.1,2.0,56,37,0.3392857142857143,0.38,0.3584905660377359
40,n02231487,"walking stick, walkingstick, stick insect",50,0.3,0.64,0.72,3.3044128512007593,0.19133911149081193,11.12,4.0,50,35,0.3,0.3,0.3
41,n02233338,"cockroach, roach",50,0.26,0.56,0.84,2.915383751640002,0.21747827656302632,8.46,3.0,50,37,0.26,0.26,0.26
42,n02236044,"mantis, mantid",50,0.48,0.76,0.82,2.5611423106624285,0.3078650655044606,9.86,2.0,58,34,0.41379310344827586,0.48,0.4444444444444445
43,n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",50,0.46,0.74,0.86,2.459221199742334,0.3413345278994118,10.68,2.0,42,19,0.5476190476190477,0.46,0.5000000000000001
44,n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",50,0.74,0.86,0.94,1.1565917139364876,0.6826842308270871,5.38,1.0,46,9,0.8043478260869565,0.74,0.7708333333333333
45,n02281406,"sulphur butterfly, sulfur butterfly",50,0.74,0.94,0.96,0.9674046570935859,0.7063795119501652,5.32,1.0,54,17,0.6851851851851852,0.74,0.7115384615384615
46,n02321529,"sea cucumber, holothurian",50,0.46,0.82,0.88,2.1055425552299387,0.38016960315445303,9.64,2.0,62,39,0.3709677419354839,0.46,0.4107142857142857
